id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party Anthem,Chain Theory,hip-hop,hype,0.88,96,0.78,0.91,0.06
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,66,0.74,0.18,0.97
13,Iron Curtain,Deadfall,metal,angry,0.97,178,0.21,0.55,0.03
14,Gravel Roads,June Carter Blue,country,nostalgic,0.55,104,0.80,0.64,0.76
15,Slow Burn,Velvet Tone,r&b,romantic,0.48,84,0.73,0.67,0.44
16,Overdrive,Pulse Engine,edm,euphoric,0.95,140,0.88,0.95,0.02
17,Island Time,The Drifters,reggae,carefree,0.52,88,0.82,0.72,0.58
18,Dust and Smoke,Earl Hollow,blues,melancholic,0.44,72,0.32,0.43,0.83
19,Wildflower Trail,Fern & Stone,folk,reflective,0.31,76,0.68,0.38,0.94
20,After Dark,Apex,trap,intense,0.86,140,0.44,0.85,0.07
